current, inductance
217.20,	-112.18
217.47,	-112.37
217.75,	-112.57
218.02,	-112.76
218.29,	-112.96
218.56,	-113.15
218.84,	-113.34
219.11,	-113.54
219.38,	-113.73
219.65,	-113.93
219.93,	-114.12
220.20,	-114.31
220.47,	-114.51
220.74,	-114.70
221.02,	-114.90
221.29,	-115.09
221.56,	-115.28
221.84,	-115.48
222.11,	-115.67
222.38,	-115.87
222.65,	-116.06
222.93,	-116.26
223.20,	-116.45
223.47,	-116.64
223.74,	-116.84
224.02,	-117.03
224.29,	-117.23
224.56,	-117.42
224.83,	-117.62
225.11,	-117.81
225.38,	-118.01
225.65,	-118.20
225.92,	-118.39
226.20,	-118.59
226.47,	-118.78
226.74,	-118.98
227.02,	-119.17
227.29,	-119.37
227.56,	-119.56
227.83,	-119.76
228.11,	-119.95
228.38,	-120.15
228.65,	-120.34
228.92,	-120.53
229.20,	-120.73
229.47,	-120.92
229.74,	-121.12
230.01,	-121.31
230.29,	-121.51
230.56,	-121.70
230.83,	-121.90
231.11,	-122.09
231.38,	-122.29
231.65,	-122.48
231.92,	-122.68
232.20,	-122.87
232.47,	-123.07
232.74,	-123.26
233.01,	-123.46
233.29,	-123.65
233.56,	-123.85
233.83,	-124.04
234.10,	-124.24
234.38,	-124.43
234.65,	-124.62
234.92,	-124.82
235.19,	-125.01
235.47,	-125.21
235.74,	-125.40
236.01,	-125.60
236.29,	-125.79
236.56,	-125.99
236.83,	-126.18
237.10,	-126.38
237.38,	-126.58
237.65,	-126.77
237.92,	-126.97
238.19,	-127.16
238.47,	-127.36
238.74,	-127.55
239.01,	-127.75
239.28,	-127.94
239.56,	-128.14
239.83,	-128.33
240.10,	-128.53
240.37,	-128.72
240.65,	-128.92
240.92,	-129.11
241.19,	-129.31
241.47,	-129.50
241.74,	-129.70
242.01,	-129.89
242.28,	-130.09
242.56,	-130.28
242.83,	-130.48
243.10,	-130.67
243.37,	-130.87
243.65,	-131.07
243.92,	-131.26
244.19,	-131.46
244.46,	-131.65
244.74,	-131.85
