Time, B_0_0_RRR_100, B_3_0_RRR_100, B_0_0_RRR_200, B_3_0_RRR_200
1.370000000000000000e+02,6.384111138914617754e-09,6.443342000212072585e-09,6.272570292508871711e-09,6.331832311251182842e-09
1.380000000000000000e+02,6.455137987578709216e-09,6.514351160514612785e-09,6.343582832008246586e-09,6.402824530140316445e-09
1.390000000000000000e+02,6.526054431380515127e-09,6.585251563028436128e-09,6.414485301452723952e-09,6.473708397066056003e-09
1.400000000000000000e+02,6.596861526796105629e-09,6.656044215556168080e-09,6.485278745554337836e-09,6.544484905332063756e-09
1.410000000000000000e+02,6.667560417653340600e-09,6.726730215171331666e-09,6.555964296904050218e-09,6.615155138170776926e-09
1.420000000000000000e+02,6.738152326798187934e-09,6.797310739800179179e-09,6.626543167610288454e-09,6.685720260290198396e-09
1.430000000000000000e+02,6.808638548288260281e-09,6.867787040334592043e-09,6.697016641466352195e-09,6.756181509953845013e-09
1.440000000000000000e+02,6.879020440086638884e-09,6.938160433248921437e-09,6.767386066619643506e-09,6.826540191566595399e-09
1.450000000000000000e+02,6.949299417229995345e-09,7.008432293694644008e-09,6.837652848716644931e-09,6.896797668740206582e-09
1.460000000000000000e+02,7.019476945445955173e-09,7.078604049047611113e-09,6.907818444498479398e-09,6.966955357813116553e-09
1.470000000000000000e+02,7.089554535195546971e-09,7.148677172883606392e-09,6.977884355822822159e-09,7.037014721800165680e-09
1.480000000000000000e+02,7.159533736117610115e-09,7.218653179358910817e-09,7.047852124088957410e-09,7.106977264748840995e-09
1.490000000000000000e+02,7.229416131852906460e-09,7.288533617973528943e-09,7.117723325043637427e-09,7.176844526479569688e-09
1.500000000000000000e+02,7.299203335226693242e-09,7.358320068695651548e-09,7.187499563946447631e-09,7.246618077688571652e-09
1.510000000000000000e+02,7.368896983769395307e-09,7.428014137426915854e-09,7.257182471074239607e-09,7.316299515392742114e-09
1.520000000000000000e+02,7.438498735555985062e-09,7.497617451788897209e-09,7.326773697545184225e-09,7.385890458696923771e-09
