Time, diff_strand
4.740000000000013358e+01, 1.071964404197509133e-03
4.760000000000013642e+01, 1.056591233161408754e-03
4.780000000000013927e+01, 1.041529641894459700e-03
4.800000000000014211e+01, 1.026773053043274772e-03
4.820000000000014495e+01, 1.012315034790300158e-03
4.840000000000014779e+01, 9.981492971223634297e-04
4.860000000000015064e+01, 9.842696882772724882e-04
4.880000000000015348e+01, 9.706701913554303908e-04
4.900000000000015632e+01, 9.573449210843675786e-04
4.920000000000015916e+01, 9.442881207251123572e-04
4.940000000000016200e+01, 9.314941591098928461e-04
4.960000000000016485e+01, 9.189575278009836680e-04
4.980000000000016769e+01, 9.066728383607871190e-04
