time, 	time_delayed,	Current,	Resistance,	V_res, Hot_spot
0.5975,	0.36750,	75.4546,	1.1113E-01, 	8.3855E+00, 	25.407
0.6000,	0.37000,	75.3458,	1.1306E-01, 	8.5189E+00, 	25.492
0.6025,	0.37250,	75.2372,	1.1526E-01, 	8.6720E+00, 	25.577
0.6050,	0.37500,	75.1167,	1.1712E-01, 	8.7977E+00, 	25.661
0.6075,	0.37750,	75.0083,	1.1947E-01, 	8.9613E+00, 	25.745
0.6100,	0.38000,	74.8880,	1.2138E-01, 	9.0898E+00, 	25.828
0.6125,	0.38250,	74.7798,	1.2353E-01, 	9.2379E+00, 	25.911
0.6150,	0.38500,	74.6598,	1.2549E-01, 	9.3693E+00, 	25.992
0.6175,	0.38750,	74.5518,	1.2753E-01, 	9.5078E+00, 	26.074
0.6200,	0.39000,	74.4320,	1.2968E-01, 	9.6526E+00, 	26.154
0.6225,	0.39250,	74.3244,	1.3165E-01, 	9.7851E+00, 	26.234
0.6250,	0.39500,	74.2048,	1.3379E-01, 	9.9278E+00, 	26.314
0.6275,	0.39750,	74.0974,	1.3591E-01, 	1.0070E+01, 	26.392
0.6300,	0.40000,	73.9781,	1.3804E-01, 	1.0212E+01, 	26.471
0.6325,	0.40250,	73.8708,	1.4022E-01, 	1.0358E+01, 	26.548
0.6350,	0.40500,	73.7518,	1.4235E-01, 	1.0499E+01, 	26.625
0.6375,	0.40750,	73.6448,	1.4448E-01, 	1.0640E+01, 	26.702
0.6400,	0.41000,	73.5379,	1.4655E-01, 	1.0777E+01, 	26.778
0.6425,	0.41250,	73.4311,	1.4868E-01, 	1.0918E+01, 	26.854
0.6450,	0.41500,	73.3244,	1.5079E-01, 	1.1057E+01, 	26.929
0.6475,	0.41750,	73.2178,	1.5284E-01, 	1.1190E+01, 	27.003
0.6500,	0.42000,	73.1113,	1.5511E-01, 	1.1340E+01, 	27.077
0.6525,	0.42250,	73.0049,	1.5704E-01, 	1.1465E+01, 	27.151
0.6550,	0.42500,	72.8986,	1.5917E-01, 	1.1603E+01, 	27.224
0.6575,	0.42750,	72.7925,	1.6121E-01, 	1.1735E+01, 	27.296
0.6600,	0.43000,	72.6864,	1.6324E-01, 	1.1865E+01, 	27.368
0.6625,	0.43250,	72.5805,	1.6530E-01, 	1.1997E+01, 	27.440
0.6650,	0.43500,	72.4746,	1.6726E-01, 	1.2122E+01, 	27.511
0.6675,	0.43750,	72.3689,	1.6936E-01, 	1.2256E+01, 	27.582
0.6700,	0.44000,	72.2633,	1.7121E-01, 	1.2373E+01, 	27.652
0.6725,	0.44250,	72.1578,	1.7312E-01, 	1.2492E+01, 	27.722
0.6750,	0.44500,	72.0524,	1.7495E-01, 	1.2606E+01, 	27.791
0.6775,	0.44750,	71.9472,	1.7687E-01, 	1.2725E+01, 	27.860
0.6800,	0.45000,	71.8303,	1.7868E-01, 	1.2835E+01, 	27.928
0.6825,	0.45250,	71.7253,	1.8053E-01, 	1.2949E+01, 	27.996
0.6850,	0.45500,	71.6088,	1.8235E-01, 	1.3058E+01, 	28.064
0.6875,	0.45750,	71.5041,	1.8411E-01, 	1.3165E+01, 	28.131
0.6900,	0.46000,	71.3879,	1.8607E-01, 	1.3283E+01, 	28.198
0.6925,	0.46250,	71.2835,	1.8789E-01, 	1.3393E+01, 	28.264
0.6950,	0.46500,	71.1676,	1.8970E-01, 	1.3501E+01, 	28.330
0.6975,	0.46750,	71.0634,	1.9145E-01, 	1.3605E+01, 	28.396
0.7000,	0.47000,	70.9478,	1.9341E-01, 	1.3722E+01, 	28.461
0.7025,	0.47250,	70.8439,	1.9508E-01, 	1.3821E+01, 	28.525
0.7050,	0.47500,	70.7287,	1.9686E-01, 	1.3923E+01, 	28.590
0.7075,	0.47750,	70.6251,	1.9849E-01, 	1.4019E+01, 	28.654
0.7100,	0.48000,	70.5101,	2.0032E-01, 	1.4125E+01, 	28.717
0.7125,	0.48250,	70.4069,	2.0213E-01, 	1.4231E+01, 	28.780
0.7150,	0.48500,	70.2922,	2.0394E-01, 	1.4336E+01, 	28.843
0.7175,	0.48750,	70.1892,	2.0571E-01, 	1.4439E+01, 	28.905
0.7200,	0.49000,	70.0863,	2.0752E-01, 	1.4545E+01, 	28.967
0.7225,	0.49250,	69.9836,	2.0918E-01, 	1.4639E+01, 	29.029
0.7250,	0.49500,	69.8696,	2.1097E-01, 	1.4740E+01, 	29.090
0.7275,	0.49750,	69.7671,	2.1263E-01, 	1.4835E+01, 	29.151
0.7300,	0.50000,	69.6648,	2.1434E-01, 	1.4932E+01, 	29.211
0.7325,	0.50250,	69.5627,	2.1604E-01, 	1.5028E+01, 	29.271
0.7350,	0.50500,	69.4607,	2.1771E-01, 	1.5122E+01, 	29.331
0.7375,	0.50750,	69.3588,	2.1929E-01, 	1.5209E+01, 	29.391
0.7400,	0.51000,	69.2570,	2.2090E-01, 	1.5299E+01, 	29.450
0.7425,	0.51250,	69.1554,	2.2261E-01, 	1.5395E+01, 	29.509
0.7450,	0.51500,	69.0540,	2.2418E-01, 	1.5481E+01, 	29.567
0.7475,	0.51750,	68.9527,	2.2579E-01, 	1.5569E+01, 	29.626
0.7500,	0.52000,	68.8515,	2.2734E-01, 	1.5653E+01, 	29.685
0.7525,	0.52250,	68.7505,	2.2892E-01, 	1.5739E+01, 	29.743
0.7550,	0.52500,	68.6496,	2.3053E-01, 	1.5826E+01, 	29.801
0.7575,	0.52750,	68.5489,	2.3187E-01, 	1.5894E+01, 	29.859
0.7600,	0.53000,	68.4371,	2.3348E-01, 	1.5979E+01, 	29.916
0.7625,	0.53250,	68.3367,	2.3499E-01, 	1.6058E+01, 	29.973
0.7650,	0.53500,	68.2253,	2.3650E-01, 	1.6135E+01, 	30.030
0.7675,	0.53750,	68.1252,	2.3798E-01, 	1.6212E+01, 	30.086
0.7700,	0.54000,	68.0142,	2.3950E-01, 	1.6289E+01, 	30.142
0.7725,	0.54250,	67.9144,	2.4100E-01, 	1.6367E+01, 	30.198
0.7750,	0.54500,	67.8037,	2.4240E-01, 	1.6436E+01, 	30.253
0.7775,	0.54750,	67.7043,	2.4380E-01, 	1.6506E+01, 	30.308
0.7800,	0.55000,	67.5940,	2.4538E-01, 	1.6586E+01, 	30.363
0.7825,	0.55250,	67.4949,	2.4670E-01, 	1.6651E+01, 	30.418
0.7850,	0.55500,	67.3850,	2.4816E-01, 	1.6722E+01, 	30.472
0.7875,	0.55750,	67.2862,	2.4954E-01, 	1.6791E+01, 	30.526
0.7900,	0.56000,	67.1767,	2.5095E-01, 	1.6858E+01, 	30.580
0.7925,	0.56250,	67.0782,	2.5235E-01, 	1.6927E+01, 	30.633
0.7950,	0.56500,	66.9800,	2.5369E-01, 	1.6992E+01, 	30.686
0.7975,	0.56750,	66.8818,	2.5510E-01, 	1.7062E+01, 	30.739
0.8000,	0.57000,	66.7839,	2.5636E-01, 	1.7121E+01, 	30.791
0.8025,	0.57250,	66.6861,	2.5785E-01, 	1.7195E+01, 	30.844
0.8050,	0.57500,	66.5884,	2.5917E-01, 	1.7258E+01, 	30.895
0.8075,	0.57750,	66.4909,	2.6049E-01, 	1.7320E+01, 	30.947
0.8100,	0.58000,	66.3935,	2.6188E-01, 	1.7387E+01, 	30.999
0.8125,	0.58250,	66.2963,	2.6329E-01, 	1.7455E+01, 	31.050
0.8150,	0.58500,	66.1993,	2.6449E-01, 	1.7509E+01, 	31.101
0.8175,	0.58750,	66.1024,	2.6577E-01, 	1.7568E+01, 	31.151
