time, 	time_delayed,	Current,	Resistance,	V_res, Hot_spot
0.8575, 	0.5875, 	66.4379,	0.21714,    14.42648,	30.35213
0.8600, 	0.5900, 	66.3324,	0.21831,    14.48087,	30.39661
0.8625, 	0.5925, 	66.2376,	0.21952,    14.54035,	30.44085
0.8650, 	0.5950, 	66.1325,	0.22080,    14.60192,	30.48489
0.8675, 	0.5975, 	66.0381,	0.22198,    14.65936,	30.52870
0.8700, 	0.6000, 	65.9438,	0.22320,    14.71854,	30.57231
0.8725, 	0.6025, 	65.8497,	0.22435,    14.77339,	30.61571
0.8750, 	0.6050, 	65.7560,	0.22090,    14.52535,	30.65827
0.8775, 	0.6075, 	65.6624,	0.22222,    14.59118,	30.70046
0.8800, 	0.6100, 	65.5689,	0.22330,    14.64155,	30.74244
0.8825, 	0.6125, 	65.4756,	0.22451,    14.69971,	30.78423
0.8850, 	0.6150, 	65.3825,	0.22580,    14.76368,	30.82581
0.8875, 	0.6175, 	65.2895,	0.22688,    14.81262,	30.86718
0.8900, 	0.6200, 	65.1966,	0.22824,    14.88019,	30.90836
0.8925, 	0.6225, 	65.1038,	0.22952,    14.94236,	30.94934
0.8950, 	0.6250, 	65.0113,	0.23052,    14.98619,	30.99012
0.8975, 	0.6275, 	64.9188,	0.23203,    15.06284,	31.03070
0.9000, 	0.6300, 	64.8265,	0.23319,    15.11660,	31.07110
0.9025, 	0.6325, 	64.7343,	0.23448,    15.17916,	31.11130
0.9050, 	0.6350, 	64.6423,	0.23579,    15.24223,	31.15131
0.9075, 	0.6375, 	64.5504,	0.23694,    15.29447,	31.19114
0.9100, 	0.6400, 	64.4484,	0.23812,    15.34615,	31.23078
0.9125, 	0.6425, 	64.3568,	0.23936,    15.40471,	31.27022
0.9150, 	0.6450, 	64.2552,	0.24048,    15.45217,	31.30949
0.9175, 	0.6475, 	64.1639,	0.24166,    15.50554,	31.34855
0.9200, 	0.6500, 	64.0626,	0.24280,    15.55468,	31.38744
0.9225, 	0.6525, 	63.9716,	0.24388,    15.60114,	31.42614
0.9250, 	0.6550, 	63.8707,	0.24509,    15.65409,	31.46466
0.9275, 	0.6575, 	63.7800,	0.24625,    15.70588,	31.50300
0.9300, 	0.6600, 	63.6794,	0.24713,    15.73709,	31.54116
0.9325, 	0.6625, 	63.5891,	0.24836,    15.79283,	31.57913
0.9350, 	0.6650, 	63.4888,	0.24950,    15.84043,	31.61693
